GA 30-615
1.0000 0.00000
0.9500 0.01259
0.9000 0.02518
0.8500 0.03777
0.8000 0.05035
0.7500 0.06295
0.7000 0.07513
0.6500 0.08625
0.6000 0.09598
0.5500 0.10419
0.5000 0.11065
0.4500 0.11494
0.4000 0.11723
0.3500 0.11769
0.3000 0.11606
0.2500 0.11213
0.2000 0.10544
0.1500 0.09525
0.1000 0.08031
0.0750 0.07032
0.0500 0.05766
0.0250 0.04045
0.0125 0.02808
0.0075 0.02147
0.0050 0.01734
0.0025 0.01202
0.0000 0.00000
0.0025 -0.00978
0.0050 -0.01320
0.0075 -0.01565
0.0125 -0.01926
0.0250 -0.02491
0.0500 -0.03120
0.0750 -0.03468
0.1000 -0.03675
0.1500 -0.03837
0.2000 -0.03800
0.2500 -0.03641
0.3000 -0.03398
0.3500 -0.03111
0.4000 -0.02807
0.4500 -0.02506
0.5000 -0.02245
0.5500 -0.02061
0.6000 -0.01912
0.6500 -0.01755
0.7000 -0.01567
0.7500 -0.01339
0.8000 -0.01071
0.8500 -0.00803
0.9000 -0.00536
0.9500 -0.00267
1.0000 0.00000
