GA 30-412
1.0000 0.00000
0.9500 0.00973
0.9000 0.01949
0.8500 0.02922
0.8000 0.03896
0.7500 0.04871
0.7000 0.05812
0.6500 0.06671
0.6000 0.07422
0.5500 0.08057
0.5000 0.08558
0.4500 0.08896
0.4000 0.09081
0.3500 0.09127
0.3000 0.09012
0.2500 0.08718
0.2000 0.08211
0.1500 0.07431
0.1000 0.06279
0.0750 0.05507
0.0500 0.04524
0.0250 0.03184
0.0125 0.02217
0.0075 0.01698
0.0050 0.01374
0.0025 0.00954
0.0000 0.00000
0.0025 -0.00790
0.0050 -0.01070
0.0075 -0.01272
0.0125 -0.01571
0.0250 -0.02044
0.0500 -0.02584
0.0750 -0.02893
0.1000 -0.03085
0.1500 -0.03259
0.2000 -0.03265
0.2500 -0.03166
0.3000 -0.02992
0.3500 -0.02777
0.4000 -0.02543
0.4500 -0.02304
0.5000 -0.02090
0.5500 -0.01927
0.6000 -0.01786
0.6500 -0.01633
0.7000 -0.01452
0.7500 -0.01237
0.8000 -0.00988
0.8500 -0.00742
0.9000 -0.00495
0.9500 -0.00247
1.0000 0.00000
