GA 30-415
1.0000 0.00000
0.9500 0.01126
0.9000 0.02254
0.8500 0.03380
0.8000 0.04507
0.7500 0.05634
0.7000 0.06720
0.6500 0.07709
0.6000 0.08573
0.5500 0.09305
0.5000 0.09889
0.4500 0.10296
0.4000 0.10534
0.3500 0.10615
0.3000 0.10512
0.2500 0.10203
0.2000 0.09645
0.1500 0.08767
0.1000 0.07450
0.0750 0.06557
0.0500 0.05413
0.0250 0.03833
0.0125 0.02690
0.0075 0.02069
0.0050 0.01679
0.0025 0.01172
0.0000 0.00000
0.0025 -0.01008
0.0050 -0.01375
0.0075 -0.01643
0.0125 -0.02044
0.0250 -0.02698
0.0500 -0.03473
0.0750 -0.03943
0.1000 -0.04256
0.1500 -0.04595
0.2000 -0.04699
0.2500 -0.04651
0.3000 -0.04492
0.3500 -0.04265
0.4000 -0.03996
0.4500 -0.03704
0.5000 -0.03421
0.5500 -0.03175
0.6000 -0.02937
0.6500 -0.02671
0.7000 -0.02360
0.7500 -0.02000
0.8000 -0.01599
0.8500 -0.01200
0.9000 -0.00800
0.9500 -0.00400
1.0000 0.00000
