GA 30-215
1.0000 0.00000
0.9500 0.00961
0.9000 0.01923
0.8500 0.02885
0.8000 0.03846
0.7500 0.04808
0.7000 0.05729
0.6500 0.06564
0.6000 0.07292
0.5500 0.07912
0.5000 0.08419
0.4500 0.08792
0.4000 0.09045
0.3500 0.09177
0.3000 0.09165
0.2500 0.08984
0.2000 0.08592
0.1500 0.07925
0.1000 0.06876
0.0750 0.06142
0.0500 0.05158
0.0250 0.03718
0.0125 0.02630
0.0075 0.02025
0.0050 0.01643
0.0025 0.01150
0.0000 0.00000
0.0025 -0.01030
0.0050 -0.01411
0.0075 -0.01687
0.0125 -0.02104
0.0250 -0.02818
0.0500 -0.03728
0.0750 -0.04358
0.1000 -0.04830
0.1500 -0.05437
0.2000 -0.05752
0.2500 -0.05870
0.3000 -0.05839
0.3500 -0.05703
0.4000 -0.05485
0.4500 -0.05208
0.5000 -0.04891
0.5500 -0.04568
0.6000 -0.04218
0.6500 -0.03816
0.7000 -0.03351
0.7500 -0.02826
0.8000 -0.02260
0.8500 -0.01695
0.9000 -0.01131
0.9500 -0.00565
1.0000 0.00000
