GA 30-212
1.0000 0.00000
0.9500 0.00808
0.9000 0.01618
0.8500 0.02427
0.8000 0.03235
0.7500 0.04045
0.7000 0.04821
0.6500 0.05526
0.6000 0.06141
0.5500 0.06664
0.5000 0.07088
0.4500 0.07392
0.4000 0.07592
0.3500 0.07689
0.3000 0.07665
0.2500 0.07499
0.2000 0.07158
0.1500 0.06589
0.1000 0.05705
0.0750 0.05092
0.0500 0.04269
0.0250 0.03064
0.0125 0.02157
0.0075 0.01654
0.0050 0.01338
0.0025 0.00932
0.0000 0.00000
0.0025 -0.00812
0.0050 -0.01106
0.0075 -0.01316
0.0125 -0.01631
0.0250 -0.02164
0.0500 -0.02839
0.0750 -0.03308
0.1000 -0.03659
0.1500 -0.04101
0.2000 -0.04318
0.2500 -0.04385
0.3000 -0.04339
0.3500 -0.04215
0.4000 -0.04032
0.4500 -0.03808
0.5000 -0.03560
0.5500 -0.03320
0.6000 -0.03067
0.6500 -0.02778
0.7000 -0.02443
0.7500 -0.02063
0.8000 -0.01649
0.8500 -0.01237
0.9000 -0.00826
0.9500 -0.00412
1.0000 0.00000
