GA 30-312
1.0000 0.00000
0.9500 0.00891
0.9000 0.01784
0.8500 0.02675
0.8000 0.03565
0.7500 0.04458
0.7000 0.05317
0.6500 0.06099
0.6000 0.06782
0.5500 0.07360
0.5000 0.07823
0.4500 0.08143
0.4000 0.08336
0.3500 0.08409
0.3000 0.08342
0.2500 0.08115
0.2000 0.07696
0.1500 0.07028
0.1000 0.06017
0.0750 0.05318
0.0500 0.04406
0.0250 0.03114
0.0125 0.02169
0.0075 0.01655
0.0050 0.01342
0.0025 0.00935
0.0000 0.00000
0.0025 -0.00809
0.0050 -0.01102
0.0075 -0.01315
0.0125 -0.01619
0.0250 -0.02114
0.0500 -0.02702
0.0750 -0.03082
0.1000 -0.03347
0.1500 -0.03662
0.2000 -0.03780
0.2500 -0.03769
0.3000 -0.03662
0.3500 -0.03495
0.4000 -0.03288
0.4500 -0.03057
0.5000 -0.02825
0.5500 -0.02624
0.6000 -0.02426
0.6500 -0.02205
0.7000 -0.01947
0.7500 -0.01650
0.8000 -0.01319
0.8500 -0.00989
0.9000 -0.00660
0.9500 -0.00329
1.0000 0.00000
