GA 30-315
1.0000 0.00000
0.9500 0.01044
0.9000 0.02089
0.8500 0.03133
0.8000 0.04176
0.7500 0.05221
0.7000 0.06225
0.6500 0.07137
0.6000 0.07933
0.5500 0.08608
0.5000 0.09154
0.4500 0.09543
0.4000 0.09789
0.3500 0.09897
0.3000 0.09842
0.2500 0.09600
0.2000 0.09130
0.1500 0.08364
0.1000 0.07188
0.0750 0.06368
0.0500 0.05295
0.0250 0.03768
0.0125 0.02642
0.0075 0.02026
0.0050 0.01647
0.0025 0.01153
0.0000 0.00000
0.0025 -0.01027
0.0050 -0.01407
0.0075 -0.01686
0.0125 -0.02092
0.0250 -0.02768
0.0500 -0.03591
0.0750 -0.04132
0.1000 -0.04518
0.1500 -0.04998
0.2000 -0.05214
0.2500 -0.05254
0.3000 -0.05162
0.3500 -0.04983
0.4000 -0.04741
0.4500 -0.04457
0.5000 -0.04156
0.5500 -0.03872
0.6000 -0.03577
0.6500 -0.03243
0.7000 -0.02855
0.7500 -0.02413
0.8000 -0.01930
0.8500 -0.01447
0.9000 -0.00965
0.9500 -0.00482
1.0000 0.00000
